,8,Karoliniškių,Vilniaus miesto,Pilaitės,Karoliniškių,3102,,3102
,8,Karoliniškių,Vilniaus miesto,R. Jankausko,Karoliniškių,1872,,1872
,8,Karoliniškių,Vilniaus miesto,Sietyno,Karoliniškių,2461,,2461
,8,Karoliniškių,Vilniaus miesto,V. Druskio,Karoliniškių,2519,,2519
,8,Karoliniškių,Vilniaus miesto,V. Vaitkaus,Karoliniškių,1981,,1981
,8,Karoliniškių,Vilniaus miesto,Vydūno,Karoliniškių,3015,,3015
,9,Lazdynų,Vilniaus miesto,Akacijų,Lazdynų,2583,,2583
,9,Lazdynų,Vilniaus miesto,Algirdo,Naujamiesčio,,3297,3297
,9,Lazdynų,Vilniaus miesto,Bokšto,Karoliniškių,,3170,3170
,9,Lazdynų,Vilniaus miesto,Bukčių,Lazdynų,4541,,4541
,9,Lazdynų,Vilniaus miesto,Geležinio Vilko,Lazdynų,2671,,2671
,9,Lazdynų,Vilniaus miesto,Gluosnių,Lazdynų,2694,,2694
,9,Lazdynų,Vilniaus miesto,Oslo,Lazdynų,4012,,4012
,9,Lazdynų,Vilniaus miesto,Paparčio,Lazdynų,2845,,2845
,9,Lazdynų,Vilniaus miesto,Riešuto,Lazdynų,1929,,1929
,9,Lazdynų,Vilniaus miesto,Sausio 13-osios,Karoliniškių,,2974,2974
,9,Lazdynų,Vilniaus miesto,Skroblų,Lazdynų,3463,,3463
,9,Lazdynų,Vilniaus miesto,Titnago,Lazdynų,3937,,3937
,9,Lazdynų,Vilniaus miesto,Žėručio,Lazdynų,3073,,3073
,10,Naujosios Vilnios,Vilniaus miesto,A. Kojelavičiaus,Naujosios Vilnios,1544,,1544
,10,Naujosios Vilnios,Vilniaus miesto,Brolių,Naujamiesčio,,2083,2083
,10,Naujosios Vilnios,Vilniaus miesto,Dariaus ir Girėno,Naujosios Vilnios,1462,,1462
,10,Naujosios Vilnios,Vilniaus miesto,Darželio,Naujosios Vilnios,1941,,1941
,10,Naujosios Vilnios,Vilniaus miesto,Dvarčionių,Naujosios Vilnios,4373,,4373
,10,Naujosios Vilnios,Vilniaus miesto,Genių,Naujosios Vilnios,2175,,2175
,10,Naujosios Vilnios,Vilniaus miesto,Gimnazijos,Naujamiesčio,,1834,1834
,10,Naujosios Vilnios,Vilniaus miesto,J. Kolaso,Naujosios Vilnios,4920,,4920
,10,Naujosios Vilnios,Vilniaus miesto,Kapsų,Naujosios Vilnios,1370,,1370
,10,Naujosios Vilnios,Vilniaus miesto,Karklėnų,Naujosios Vilnios,2839,,2839
,10,Naujosios Vilnios,Vilniaus miesto,Lietuvių namų,Naujosios Vilnios,2579,,2579
,10,Naujosios Vilnios,Vilniaus miesto,Naujininkų,Naujamiesčio,,1669,1669
,10,Naujosios Vilnios,Vilniaus miesto,Palydovo,Naujosios Vilnios,2385,,2385
,10,Naujosios Vilnios,Vilniaus miesto,Parko,Naujosios Vilnios,3804,,3804
,10,Naujosios Vilnios,Vilniaus miesto,Pergalės,Naujosios Vilnios,2889,,2889
,10,Naujosios Vilnios,Vilniaus miesto,Pramonės,Naujosios Vilnios,1346,,1346
,10,Naujosios Vilnios,Vilniaus miesto,Rugiagėlių,Naujosios Vilnios,2279,,2279
,11,Šilainių,Kauno miesto,Baltijos,Šilainių,3823,,3823
,11,Šilainių,Kauno miesto,Baltų,Šilainių,4008,,4008
,11,Šilainių,Kauno miesto,Demokratų,Šilainių,2131,,2131
,11,Šilainių,Kauno miesto,Linkuvos,Šilainių,2834,,2834
,11,Šilainių,Kauno miesto,Milikonių,Šilainių,2377,,2377
,11,Šilainių,Kauno miesto,Rasytės,Šilainių,3201,,3201
,11,Šilainių,Kauno miesto,Sargėnų,Šilainių,4195,,4195
,11,Šilainių,Kauno miesto,Šarkuvos,Šilainių,4493,,4493
,11,Šilainių,Kauno miesto,Vėtrungės,Šilainių,3369,,3369
,11,Šilainių,Kauno miesto,Žemaičių,Šilainių,4117,,4117
,11,Šilainių,Kauno miesto,Žiemgalių,Šilainių,4711,,4711
,12,Aleksoto-Vilijampolės,Kauno miesto,Apuolės,Aleksoto-Vilijampolės,1150,,1150
,12,Aleksoto-Vilijampolės,Kauno miesto,Ąžuolo,Aleksoto-Vilijampolės,3530,,3530
,12,Aleksoto-Vilijampolės,Kauno miesto,Dobilo,Aleksoto-Vilijampolės,3175,,3175
,12,Aleksoto-Vilijampolės,Kauno miesto,J. Dobkevičiaus,Aleksoto-Vilijampolės,4648,,4648
