apygOld,apygNew,candidate,candidateUrl,votes
Naujosios Vilnios,Senamiesčio,Aleksandras BOJAROVAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68173/Kandidato68173Anketa.html,24
Naujosios Vilnios,Senamiesčio,Juzef TOMAŠEVIČ-JAKOVIČ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68681/Kandidato68681Anketa.html,19
Naujosios Vilnios,Senamiesčio,Tomas BIKELIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68038/Kandidato68038Anketa.html,11
Naujosios Vilnios,Senamiesčio,Robertas PRANCKŪNAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67757/Kandidato67757Anketa.html,7
Naujosios Vilnios,Senamiesčio,Ilona POPLAVSKAJA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67670/Kandidato67670Anketa.html,7
Naujosios Vilnios,Senamiesčio,Viačeslav JANKELEVIČ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69971/Kandidato69971Anketa.html,10
Naujamiesčio,Lazdynų,Irena DEGUTIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67288/Kandidato67288Anketa.html,551
Naujamiesčio,Lazdynų,Neringa VENCKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66658/Kandidato66658Anketa.html,232
Naujamiesčio,Lazdynų,Faustas LATĖNAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66885/Kandidato66885Anketa.html,123
Naujamiesčio,Lazdynų,Jolanta GAUDUTIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67900/Kandidato67900Anketa.html,190
Naujamiesčio,Lazdynų,Arminas LYDEKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67091/Kandidato67091Anketa.html,74
Naujamiesčio,Lazdynų,Irina ROZOVA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68430/Kandidato68430Anketa.html,184
Naujamiesčio,Lazdynų,Vytautas BOGUŠIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69728/Kandidato69728Anketa.html,61
Naujamiesčio,Lazdynų,Liucija BORUSEVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66512/Kandidato66512Anketa.html,46
Naujamiesčio,Lazdynų,Miroslavas MONKEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68127/Kandidato68127Anketa.html,50
Naujamiesčio,Lazdynų,Vitalijus BALKUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68752/Kandidato68752Anketa.html,46
Naujamiesčio,Lazdynų,Juozas MURAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67479/Kandidato67479Anketa.html,5
Naujamiesčio,Lazdynų,Dainius Petras PAUKŠTĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68360/Kandidato68360Anketa.html,11
Naujamiesčio,Lazdynų,Robertas KASPEROVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67765/Kandidato67765Anketa.html,3
Naujamiesčio,Lazdynų,Janas JUREVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67681/Kandidato67681Anketa.html,5
Naujamiesčio,Lazdynų,Gediminas PELĖDŽIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas70028/Kandidato70028Anketa.html,4
Karoliniškių,Lazdynų,Danutė BEKINTIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67333/Kandidato67333Anketa.html,803
Karoliniškių,Lazdynų,Linas BALSYS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67514/Kandidato67514Anketa.html,530
Karoliniškių,Lazdynų,Vanda KRAVČIONOK,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68433/Kandidato68433Anketa.html,478
Karoliniškių,Lazdynų,Valdas SKARBALIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67897/Kandidato67897Anketa.html,385
Karoliniškių,Lazdynų,Jurgis JURKEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66920/Kandidato66920Anketa.html,319
Karoliniškių,Lazdynų,Stasys BRUNDZA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66664/Kandidato66664Anketa.html,261
Karoliniškių,Lazdynų,Alvydas MEDALINSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68029/Kandidato68029Anketa.html,212
Karoliniškių,Lazdynų,Ilona GRIGARAVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67111/Kandidato67111Anketa.html,191
Karoliniškių,Lazdynų,Almantas PETKUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66469/Kandidato66469Anketa.html,136
Karoliniškių,Lazdynų,Laimas DIENINIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68142/Kandidato68142Anketa.html,116
Karoliniškių,Lazdynų,Vytautas BERNATONIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69096/Kandidato69096Anketa.html,106
Karoliniškių,Lazdynų,Virginija APANAVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68712/Kandidato68712Anketa.html,70
Karoliniškių,Lazdynų,Mantas PANAVAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69762/Kandidato69762Anketa.html,52
Karoliniškių,Lazdynų,Juozas VASILIAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68866/Kandidato68866Anketa.html,27
Karoliniškių,Lazdynų,Albina KAVALIAUSKAITĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67647/Kandidato67647Anketa.html,19
Karoliniškių,Lazdynų,Angelina LABANAUSKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67767/Kandidato67767Anketa.html,6
Karoliniškių,Lazdynų,Audrius JASIONIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas70007/Kandidato70007Anketa.html,14
